logout,1317454251,2004337,154299,008.gat,53,51,187.78.65.16,92,7559086,0
login,1317454263,2004337,154299,008.gat,53,51,187.78.65.16,92,7559086,0
logout,1317456741,2007317,158411,005-1.gat,58,53,187.78.65.16,255,617932,80
login,1317456763,2003035,152775,008-1.gat,41,89,187.78.65.16,99,53606492,0
logout,1317457093,2004337,154299,008.gat,122,49,187.78.65.16,92,7688417,0
login,1317457146,2007317,158411,005-1.gat,30,74,187.78.65.16,255,617932,80
logout,1317459701,2003035,152775,005-1.gat,37,58,187.78.65.16,99,53731433,0
login,1317459745,2003035,152775,005-1.gat,30,74,187.78.65.16,99,53731433,0
logout,1317459958,2007317,158411,005-1.gat,57,69,187.78.65.16,255,1514566,80
login,1317459997,2004337,154299,008.gat,122,49,187.78.65.16,92,7688417,0
logout,1317460073,2003035,152775,008.gat,120,49,187.78.65.16,99,53731433,0
login,1317460267,2007317,158411,005-1.gat,30,74,187.78.65.16,255,1514566,80
logout,1317460513,2007317,158411,005.gat,41,96,187.78.65.16,255,1514566,80
login,1317460541,2003035,152775,008.gat,120,49,187.78.65.16,99,53731433,0
logout,1317461023,2003035,152775,005.gat,51,92,187.78.65.16,99,53731433,0
login,1317461165,2007768,159087,008.gat,98,79,201.73.208.122,46,16553,0
login,1317462809,2007755,159058,org025.gat,21,63,187.120.148.54,70,757888,0
logout,1317463736,2007755,159058,org027.gat,99,44,187.120.148.54,70,829422,0
login,1317463830,2007297,158619,005-4.gat,28,28,187.120.148.54,50,27395,0
login,1317463863,2007274,158693,org027.gat,111,39,201.30.204.2,77,1112318,0
logout,1317464248,2007768,159087,008.gat,173,62,201.73.208.122,46,37074,0
login,1317464339,2007802,159140,008-2.gat,142,43,189.80.248.149,44,40027,0
login,1317464405,2007768,159087,008.gat,173,62,201.73.208.122,46,37074,0
logout,1317464500,2004337,154299,org027.gat,97,35,187.78.65.16,92,8238226,0
login,1317464633,2007782,159105,008.gat,162,72,201.73.208.122,38,13792,0
logout,1317464701,2007274,158693,org027.gat,97,34,201.30.204.2,77,1266080,0
login,1317464750,2007274,158693,org027.gat,97,34,201.30.204.2,77,1266080,0
logout,1317465006,2007297,158619,010.gat,90,26,187.120.148.54,50,42610,0
login,1317465034,2007297,158619,010.gat,90,26,187.120.148.54,50,42610,0
login,1317465038,2004337,154299,org027.gat,97,35,187.78.184.126,92,8238226,0
logout,1317465044,2007782,159105,008.gat,154,73,201.73.208.122,38,14696,0
login,1317465060,2007782,159105,008.gat,154,73,201.73.208.122,38,14696,0
logout,1317465440,2007802,159140,008.gat,93,72,189.80.248.149,44,38205,0
login,1317465451,2007802,159140,008.gat,93,72,189.80.248.149,44,38205,0
logout,1317465628,2007274,158693,007-1.gat,96,32,201.30.204.2,77,1210496,0
login,1317465649,2007274,158693,007-1.gat,96,32,201.30.204.2,77,1210496,0
logout,1317465768,2007802,159140,008-2.gat,124,39,189.80.248.149,44,40224,0
login,1317466318,2007802,159140,008-2.gat,124,39,189.80.248.149,44,40224,0
logout,1317466357,2007802,159140,008-2.gat,134,41,189.80.248.149,44,40224,0
login,1317466361,2007802,159140,008-2.gat,134,41,189.80.248.149,44,40224,0
logout,1317466398,2007802,159140,008-2.gat,110,30,189.80.248.149,44,40318,0
login,1317466422,2007802,159140,008-2.gat,110,30,189.80.248.149,44,40318,0
logout,1317466568,2007274,158693,005.gat,95,74,201.30.204.2,77,1217304,0
login,1317466603,2007274,158693,005.gat,95,74,201.30.204.2,77,1217304,0
logout,1317466643,2007802,159140,008-2.gat,114,25,189.80.248.149,44,41135,0
logout,1317466747,2007274,158693,005.gat,113,85,201.30.204.2,77,1217304,0
login,1317466768,2007802,159140,008-2.gat,114,25,189.80.248.149,44,41135,0
login,1317466775,2007274,158693,005.gat,113,85,201.30.204.2,77,1217304,0
logout,1317466956,2007274,158693,org027.gat,106,40,201.30.204.2,77,1226809,0
login,1317466970,2007274,158693,org027.gat,106,40,201.30.204.2,77,1226809,0
logout,1317467153,2007782,159105,009-2.gat,60,58,201.73.208.122,38,17514,0
login,1317467268,2007642,158892,008.gat,51,67,201.73.208.122,48,3577,0
logout,1317467823,2007802,159140,008-2.gat,100,44,189.80.248.149,44,50748,0
login,1317467825,2007788,159112,010.gat,73,66,201.13.123.67,52,93726,0
logout,1317467829,2007274,158693,org027.gat,107,40,201.30.204.2,77,1355613,0
login,1317467834,2007802,159140,008-2.gat,100,44,189.80.248.149,44,50748,0
login,1317467846,2007274,158693,org027.gat,107,40,201.30.204.2,77,1355613,0
logout,1317467874,2007802,159140,008-2.gat,147,54,189.80.248.149,44,50939,0
login,1317467890,2007802,159140,008-2.gat,147,54,189.80.248.149,44,50939,0
logout,1317467966,2004337,154299,org027.gat,107,39,187.78.184.126,92,8733063,0
login,1317467972,2004337,154299,org027.gat,107,39,187.78.184.126,92,8733063,0
login,1317468055,2007437,158787,org026.gat,114,62,189.64.147.144,62,344372,0
logout,1317468285,2007802,159140,008-2.gat,122,30,189.80.248.149,45,1033,0
